Tweet,EVENT,GENERALIZING_SENTENCE,GENERIC_SENTENCE,IMPERATIVE,QUESTION,REPORT,STATE,labels_for_settingA
"things are so much easier as friends .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"please help us build a #4charity following.  .",0.75,0.0,0.0,0.25,0.0,0.0,0.0,1
"would rather a guy be straight up about wanting fwb than leading a girl on and shit .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" dude. that guy is like...the bounty hunter among bounty hunters. i can see why ya fell for someone that badass.",0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,1
"i luv . everyone tell her happy birthday.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" all i see is ass and boobs do you see it? .",0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,0.0,0.1111111111111111,0
" -__- ok. im finally here. bout to log in! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" love that is casually texting on the red carpet.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"my real inspiration .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"during college i'm so motivated then i get home and i'm like nahhh tv shows .",0.0,0.0,0.4,0.0,0.0,0.0,0.6,1
"i need to get the fuck out of my house .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"every time i have a dream about you all the pain comes back. and it feels so incredibly real. #forevermissingyou .",0.0,0.3684210526315789,0.3157894736842105,0.0,0.0,0.0,0.3157894736842105,0
" you're in bd right? oh hope things are fine. ..",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" truly. madly. deeply need a new album from you. please. with a chika cherry cola on top.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"mt : winner of 2013 waterwise conservation award was tracy bouvette. #cww13 .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" there is!! it's nice to know people are here for me. <kiss> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"had the best time now it's the worst time..but we have to say goodbye .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i feel like i have run out of things to say about #blacklivesmatter and other people are doing a better job of discussing it than i could .",0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.4782608695652174,0
" i hope to shoot one this summer i didn't get drawn last year so hopefully this year i will .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" or. just stop watching. that is all they are interested in - viewing figures! .",0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0
"oh happy day! #soulmates .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" goodnight baee! you made my day go from 0 to 100 real quick love you so much .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"gooood morning and happy tuesday!!!!!! you can say what you want about yoda. but he is master teacher when it...",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"managed to escape a master hangover #fresh .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" when i watch yeldon run. he seems like a perfect fit for the colts offense .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i feel for the oppressed. the marginalized. the abused. everyone in this country needs to stand with black people against police brutality.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"practice what you preach u acting nice on tha internet but in rl ur mean as hell ???? .",0.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.9411764705882352,0
"fell asleep at half 7 last night and that's me just woke up. wow #tiredlittlegirl .",0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0
"rip tyler. you'll be missed. thanks for being a part of one of the best summers i've had! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" stop no one knows you stupid whore .",0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0
" happy belated birthday .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" it's not even a t shirt.. oh well .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"is it nice out? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"&amp; like the worst part is we're all going down our tl &amp; know exactly what eachother's tweets are about #fuckedup .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"the worst thing is when i hear/see ignore the people and their hateful words... what do you do when those words come from your own mind?? .",0.5769230769230769,0.0,0.0,0.0,0.15384615384615385,0.1153846153846154,0.15384615384615385,0
"got too . its too late #raw  : this triple threat match gonna end in interference or some bullshit .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"so basically what im trying to say is. don't ask me for my exam review lol .",0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0
" deep useless crap more like .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" getting ready to drive to great falls and hop on the plane at 6am !! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" that looks bomb. also i know coffee is a natural laxative! i'm not trying to shit my pants either.",0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.7894736842105263,0
" *lingers in corner with an awkward face* .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i just need to say thank you to all of you. everyone who messaged me/tweeted me was very nice - that is greatly appreciated.",0.09090909090909093,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,1
"studying fashion isn't as fun as it sounds.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" powerless and i don't care it's obvious. i just can't get enough of you....",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"young and open girl who wants to create a strong family. in that there is harmony and idyl...",0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,1
"#sagittarius are not a fan of bullshit.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"cause baby you're awesome .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i'm not a fan of 1d but i like their songs. and zayn is my bae there since i heard of 1d. but now. idk. i love 1d (w/ zayn ofc).",0.125,0.0,0.0,0.0,0.0,0.0,0.875,1
"empty tarmac of the airport specifically designed to destroy wild life.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"lmao! foreal dawg think about it.. : lmao wtf bruh : guys.... choice condoms are coated in hiv hey...",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" bro...you better chill before me and my team have to roll out on you.",0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0
" i love you .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"cause sometimes i wanna say fuck the world and fuck you.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
"smiling is the best way to face any problem. to crush every fear and to hide every pain.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" sigh i remember back when i gave a shit about my hair. that's a luxury in itself my friend.",0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0
"if im gonna eat somebody. might as well be you <cool> .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"oh-my we're so losing #votetrismtv .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" i think most people are not appreciating your name enough. had to put it out there .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"raw was a 7/10 for me. thought there were a few matches that were outstanding. segments were perfected the right way as well. #rawlondon .",0.3478260869565217,0.0,0.0,0.0,0.0,0.0,0.6521739130434783,1
" *is only an inch taller* #shortpeopleproblems .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"glad to know that it's going to be in the mid 20s in vienna next week. turn for some sun and heat #vienna2015 .",0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1
" guys calm down. it's all okay. this is multiculturalism.",0.375,0.0,0.0,0.0,0.0,0.0,0.625,1
"that tweet led me to look up what the americans had won. wow. big gap between widespread acclaim and emmy snubs.  .",0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,1
"i feel like randomly getting belligerent drunk rn ............ wtf is wrong with me.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"... holy fuck i just beat the first enemy that's supposed to kill you .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" if anyone makes a move on her. pretty sure he'd throw them into space. like he did to lobo in batmansuperman .",0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0
" sending love#light# blessings to your beautiful kid..",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"the beautful #heidiklum looks flawless in #versace.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
" sign me up.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"how's the presentation going?  .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"star wars day: may the fourth be with you .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"im a dribbling mess ive just finished reading the fault in our stars and mum threw tissues at me and told me its a book get over it smh .",0.6666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0
"no waving goodbye to your friends .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"your favourite song out right now? .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" bangbang title i agree n then it shud b tu hai from mr.x .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"ut better have killer bats mt : all unemployed team rotation: chris young. kevin correia. roberto hernandez. joe saunders. zito.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" fucking paul jesus christ lmao no you dickhead. if you must know i like getting caressed behind the ear like a cat i'm weird ok .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"well.i guess i really deserved this night-off myself after yesterday and today..so i'mma listen to the other awaited cd from  .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"that's not the really bad part though. the really bad part is that i'm deeper in the red each paycheck .",0.0,0.0,0.4,0.0,0.0,0.0,0.6,0
" you dont need to provoke them. they just do shit anyway .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"ugly ducking celebs: i can't believe taylor swift used to look like this! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" im so scared of your rubbing man .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"this song is so good though it's really goo d i'm glad .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i want city to win. chelsea going up too far will switch of the interest in league. btw epl is always fascinating in respect for top 4 spots .",0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.18181818181818185,1
"paparazzi dogged on him for a long ass time and he kept everything hush hush. how is he a fame whore? because he had one interview? .",0.36,0.0,0.0,0.0,0.0,0.0,0.64,0
" lol yea good thing .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"new sleater kinney and belle and sebastian albums streaming on npr first listen today. 1998 is going to be the best year ever! .",0.0,0.0,0.2,0.0,0.0,0.0,0.8,1
" the pure joy on his face is priceless.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"however. i am smiling as it could always be worse. could be rovers. pne. blackpool. leeds(!). superior... #twitterclarets .",0.25,0.0,0.0,0.0,0.0,0.0,0.75,0
"i hate wearing my jordans to school... i just don't want them to get messed up!! <skeptical> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" to the police? we weren't bitten so i don't think it'd be taken that seriously. i'm not sure where they live either.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"what do the magnets on our fridges say about us? and does anyone have any serious fridge magnets? #moo .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
"i always find the tick tock slogan rather creepy and threatening. but at the least the nats are giving fair warning .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"an evening of burritos and lush. perfection .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" stop i am the quote queen!!! this is where i let out vengeance in the world! i'm a delight on facebook and instagram haha xx .",0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,1
"thanks . just feel i'd groove w so many peeps on here. it's a shame 2 me we're so quick 2 call names/use our intellects 2 skewer.",0.0,0.0,0.0,0.3461538461538461,0.0,0.0,0.6538461538461539,0
"when you think someone likes you .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"you can't live your life for other people. you've got to do what's right for you. even if it hurts some people you love.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"nothing like finding out you've been being lied too by someone you trust.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"140 characters in twitter is not enough to type in how much i love food #10thingsilove .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" ya so i'm getting lots of tweet noises lol how goes things ur way ?? .",0.0,0.0,0.2608695652173913,0.043478260869565216,0.0,0.0,0.6956521739130435,1
" how are you? beside that zayn shit .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"politicize your child's imagination; encourage them to imagine a world in which citizens are not reduced to wage-slaves.",0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,1
"love this royal message from ellen! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"very glad to hear sami zayn got his shot. seeing him live was my personal highlight of my first wwe show last year.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" nothing like looking at your workout schedule and realizing it's leg day... #onlegdayswewearpink #fitpals #riseandgrind .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"status: losing by 55k from tweets + 54k from site = 109k .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" a week! that's amazing. keep it up!! always here if you need a chat. i'm ok thank you <happy> <kiss> .",0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.7222222222222222,1
" perhaps influencing that younger generation to embrace their own beauty... a hopeful thought.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"sam jhst followedsns me .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"i do feel a little better about myself reading the unmitigated jackassery of people thinking today is the earth's birthday. help  .",0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.9523809523809524,1
" keep that tomato crap away from that pristine sandwich.... only way to make it better is to go &gt;1 cheese...",0.0,0.0,0.9523809523809524,0.047619047619047616,0.0,0.0,0.0,0
"feels good to have glasses again. my eyes have been needing them.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i miss my family <sad> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"the less i see or hear your name the less it hurts .",0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0
" i love your bag!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i have no idea. but i'm lost following their rules of time and space. #notesnotincluded .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" *salutes* what's up my friend ? .",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
" such a good song .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"100% worn out after today. 3 toes are bleeding lmao! walked my feet off quite literally .",0.75,0.0,0.25,0.0,0.0,0.0,0.0,0
"proper hooked on to breaking bad now .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"dissonance 101: a gentle introduction to schoenberg. webern and berg .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
"i understand that the defense has been on the field for a long time. but that is no excuse for these terrible tackles! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"gives you hell is my life story. <happy> .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"mama kata krja dpt duit banyak nnti design pelamin sndiri. buat lah mcmana nk hahahah .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"unfollow here n there .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"a true serenity and pureness of yourself. a cheerful mind. it is the strong mind that passes through many difficulties. be strong &amp; certain.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" smh day day needa just drop out and go back to the hood he stay in trouble .",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
"so much blood this shit hurts .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" it really was lmfao im glad my first time was w y'all i wasnt trying to go to sleep .",0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,1
"wow just realized today is the official start of fall .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"if you walk the footsteps of a stranger. you'll learn something new.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"how'd i miss this 2 wks ago? uk govt fintech review .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1
" he's has a sub par season for his standards but he's still a good goalkeeper. re: 2014 world cup .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i just introduced my mum to emojis and she looked at me like i'd given her the meaning of life .",0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,1
"still can't wrap my head around that dream from last night. like really. what the fuck. ._.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" i like leitch but this piece is mega-stoopid .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" (a day or two has past by. she approaches the officer with hands that are soaked in blood.. her outfit seemed off and the -- .",0.4583333333333333,0.0,0.20833333333333331,0.0,0.0,0.0,0.3333333333333333,0
" you you you!!!!!!!!!!! aaaahhhhhh!!!!!!!! hahahahahahahahhahahaahah gerald wtf .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" i agree!they would. too.that's y i like having rd. ld-it can't get confused w/anything else! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"morning by myself just dropped mom off at work bout to hit #legym driving alone ^_^ .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"my first proper. up-close view of london's #shard. looks great .",0.0,0.0,0.0,0.75,0.0,0.0,0.25,1
" that's right!.... smile (my dear kim hyun joong). it will all pass anyway. just hang on and keep the faith. <happy> .",0.0,0.0,0.0,0.4615384615384616,0.0,0.0,0.5384615384615384,1
" what the hell?? looks like someone needs to grow up .",0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0
"i wish i didn't have such a big gut so my kenma shorts looked better on me <skeptical> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i eat like i weigh 411 lbs .",0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,1
"i havent even left for school yet and im already crying great .",0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0
"2 corinthians 3:4 such is the confidence that we have through christ toward god. #bible .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" agreed! is missing out on all the fun today. bad day for vacation. <happy> .",0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1
"sad day. but hv to act happy.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"the thing is that i'm scared cause i know that as soon as i lose my self-control it ain't gonna end pretty .",0.0,0.0,0.28,0.12,0.0,0.0,0.6,0
"life is a series of ups and downs. like a roller coaster ride that you were forced to get on by your douchebag friends.",0.0,0.0,0.3043478260869565,0.21739130434782608,0.0,0.0,0.4782608695652174,1
" i wonder how they are notifying winners .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"killing myself because matt was in miami and i didn't know about this .",0.0,0.0,0.4545454545454545,0.0,0.0,0.0,0.5454545454545454,0
"smh i'm just blinded by love i ain't see the shit coming .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"it's amazing the things people say to me at work. i'm always astounded by condescending attitudes people walk in with.",0.0,0.0,0.5454545454545454,0.0,0.0,0.2727272727272727,0.18181818181818185,0
"i laugh and then stop and be like .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"my bun is a good 4 inches taller than my head right now.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i hate seeing leaning uggs .",0.6,0.0,0.0,0.0,0.0,0.0,0.4,0
" please follow x117 .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
" lol he surely is! i think these two are so famous that ppl end up blaming good or bad all on them .",0.3,0.0,0.0,0.0,0.0,0.0,0.7,0
"why didn't the vikings run around a lot. even for losses. on 1st &amp; 2nd to now be able to do same and end game? .",0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.3076923076923077,0
"listen carefully.. pay attention not to what is being said. but to what is not being said rather .",0.0,0.0,0.0,0.3076923076923077,0.4615384615384616,0.2307692307692308,0.0,1
"jeez. is nathan ok? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"from if your hr department overlooks the importance of this key role. it could cost you .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"wait how do you do the star war emojis .",0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,1
"lmao! my horoscope for today (may 1st) is unreal....",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" you know... if me and my f-friends could weaken the lord of the underworld himself.. we can handle her...",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" instead of bad plain steak try a steak pizzaoila or a homemade mongolian beef it is much better!!!!!! .",0.0,0.0,0.0,0.75,0.0,0.0,0.25,1
"let me love you .",0.0,0.0,0.0,0.25,0.0,0.0,0.75,1
"a change of directions is completely possible so stay flexible. keep an open mind and have faith in what is taking place. #newperspective .",0.0,0.0,0.0,0.4736842105263158,0.0,0.0,0.5263157894736842,1
"honestly. i'm surprised it's taken this long to do this. i've had this ipad for a year.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"life can be scrambled. over easy or sunny side side up....your choice! ~ #dtn #sunny .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" mannys personal physician says so. so it must be true...",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"so every loss i took. i knew to strike again .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
". so rocks... paying dartford crossing charge on my phone on m25 was super easy (nb: i'm not driver/at wheel) .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" it's good. not perfect. but well worth a watch.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"#clevelandcavaliers #cavs on instagram please follow .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"for a movie about animates animals. the lion king really speaks to me on an emotional level .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"flight attendant serenades passengers with 'royals.' wins praise from  .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" foreal like i've been teaching for years lol .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
